	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	eps
p	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
q	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
r	0.005	0.005	0.005	0.005	0.005	0.005	0.001	0.005	0.001	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.67	0.005	0.03	0.005	0.005	0.001	0.005	0.001	0.001	0.2
s	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
t	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.125
u	0.005	0.001	0.001	0.001	0.005	0.001	0.005	0.005	0.02	0.005	0.005	0.005	0.005	0.005	0.03	0.005	0.005	0.005	0.005	0.005	0.725	0.005	0.005	0.005	0.01	0.001	0.125
v	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.125
w	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.775	0.005	0.005	0.005	0.1
x	0.005	0.005	0.01	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.001	0.001	0.001	0.001	0.001	0.001	0.005	0.001	0.001	0.005	0.005	0.762	0.005	0.02	0.125
y	0.005	0.001	0.005	0.005	0.005	0.005	0.005	0.01	0.03	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.001	0.001	0.001	0.005	0.01	0.001	0.005	0.005	0.735	0.005	0.125
z	0.01	0.0005	0.0005	0.005	0.01	0.005	0.005	0.02	0.005	0.005	0.001	0.0005	0.0005	0.0005	0.01	0.0005	0.005	0.005	0.03	0.0005	0.02	0.005	0.0005	0.02	0.02	0.69	0.125
eps	0.004807692	0.001	0.004807692	0.004807692	0.004807692	0.001	0.001	0.001	0.004807692	0.001	0.004807692	0.004807692	0.01	0.02	0.004807692	0.02	0.001	0.02	0.015	0.004807692	0.004807692	0.004807692	0.001	0.004807692	0.004807692	0.004807692	0
